"year","country","gdp","gini","population"
2018,Albania,14546448944.4056,,2866376.0
2017,Albania,13977387390.5945,33.2,2866376.0
2016,Albania,13465406059.6498,33.7,2866376.0
2015,Albania,13033375121.5884,32.9,2866376.0
2014,Albania,12750473701.7819,34.6,2866376.0
2013,Albania,12528163103.1195,,2866376.0
2012,Albania,12403877841.0321,29.0,2866376.0
2011,Albania,12230507222.1843,,2866376.0
2010,Albania,11926928505.5231,,2866376.0
2009,Albania,11500613161.6647,,2866376.0
2008,Albania,11127823665.7504,30.0,2866376.0
2007,Albania,10351466806.2388,,2866376.0
2006,Albania,9767379279.88863,,2866376.0
2018,Andorra,3475566750.62972,,77006.0
2017,Andorra,3421211719.47501,,77006.0
2016,Andorra,3409412700.51704,,77006.0
2015,Andorra,3287458570.8604,,77006.0
2014,Andorra,3240978390.56079,,77006.0
2013,Andorra,3161792390.29564,,77006.0
2012,Andorra,3278085642.31738,,77006.0
2011,Andorra,3449688452.87021,,77006.0
2010,Andorra,3449966856.68832,,77006.0
2009,Andorra,3519475009.94299,,77006.0
2008,Andorra,3716558398.51518,,77006.0
2007,Andorra,3935330770.25056,,77006.0
2006,Andorra,3875142516.24022,,77006.0
2018,Austria,442915585749.024,30.8,8840521.0
2017,Austria,431775262676.529,29.7,8840521.0
2016,Austria,421657228102.472,30.8,8840521.0
2015,Austria,413432253216.039,30.5,8840521.0
2014,Austria,409280100109.633,30.5,8840521.0
2013,Austria,406591421433.927,30.8,8840521.0
2012,Austria,406487747903.707,30.5,8840521.0
2011,Austria,403740513438.199,30.8,8840521.0
2010,Austria,392275107258.667,30.3,8840521.0
2009,Austria,385198647266.611,31.5,8840521.0
2008,Austria,400267011848.042,30.4,8840521.0
2007,Austria,394505559258.526,30.6,8840521.0
2006,Austria,380329113681.259,29.6,8840521.0
2018,Belarus,62461148027.2823,25.2,9483499.0
2017,Belarus,60554177331.8333,25.4,9483499.0
2016,Belarus,59058702608.9201,25.3,9483499.0
2015,Belarus,60589462935.5585,25.6,9483499.0
2014,Belarus,63002175707.5323,27.2,9483499.0
2013,Belarus,61932974220.8466,26.6,9483499.0
2012,Belarus,61317669289.2363,26.5,9483499.0
2011,Belarus,60300321142.6581,27.2,9483499.0
2010,Belarus,57222490768.7143,28.6,9483499.0
2009,Belarus,53082941363.8271,27.7,9483499.0
2008,Belarus,52976989868.7029,27.8,9483499.0
2007,Belarus,48073493773.2612,29.6,9483499.0
2006,Belarus,44266566187.7427,28.3,9483499.0
2018,Belgium,537945351170.51,27.2,11433256
2017,Belgium,528496260419.776,27.4,11433256
2016,Belgium,520063190330.958,27.6,11433256
2015,Belgium,513558020680.56,27.7,11433256
2014,Belgium,503283690440.236,28.1,11433256
2013,Belgium,495462648324.133,27.7,11433256
2012,Belgium,493197676499.208,27.5,11433256
2011,Belgium,489578626676.653,28.1,11433256
2010,Belgium,481420882905.001,28.4,11433256
2009,Belgium,468015547701.557,28.6,11433256
2008,Belgium,477667990477.055,28.4,11433256
2007,Belgium,475542653709.135,29.2,11433256
2006,Belgium,458677622724.361,28.1,11433256
2018,Bosnia and Herzegovina,20265727508.4724,,3323929.0
2017,Bosnia and Herzegovina,19535100848.8297,,3323929.0
2016,Bosnia and Herzegovina,18934602269.0509,,3323929.0
2015,Bosnia and Herzegovina,18356410773.0628,,3323929.0
2014,Bosnia and Herzegovina,17806343590.1312,,3323929.0
2013,Bosnia and Herzegovina,17603228545.3329,,3323929.0
2012,Bosnia and Herzegovina,17199074936.9112,,3323929.0
2011,Bosnia and Herzegovina,17341594485.6047,33.0,3323929.0
2010,Bosnia and Herzegovina,17176781336.7644,,3323929.0
2009,Bosnia and Herzegovina,17029363372.8317,,3323929.0
2008,Bosnia and Herzegovina,17556851230.7796,,3323929.0
2007,Bosnia and Herzegovina,16650743291.5849,33.1,3323929.0
2006,Bosnia and Herzegovina,15729153560.7731,,3323929.0
2018,Bulgaria,60940251461.1954,41.3,7025037.0
2017,Bulgaria,59112236490.8388,40.4,7025037.0
2016,Bulgaria,57111753665.4351,40.6,7025037.0
2015,Bulgaria,55010127749.7693,38.6,7025037.0
2014,Bulgaria,52899515523.1699,37.4,7025037.0
2013,Bulgaria,51920571507.3287,36.6,7025037.0
2012,Bulgaria,51751979375.9177,36.0,7025037.0
2011,Bulgaria,51568094264.4734,34.3,7025037.0
2010,Bulgaria,50381825504.2642,35.7,7025037.0
2009,Bulgaria,50101534229.7147,33.8,7025037.0
2008,Bulgaria,51851436378.6577,33.6,7025037.0
2007,Bulgaria,48876966228.4417,36.1,7025037.0
2006,Bulgaria,45869280338.7161,35.7,7025037.0
2018,Croatia,65287544197.8689,29.7,4087843.0
2017,Croatia,63504583355.145,30.4,4087843.0
2016,Croatia,61393139836.7654,30.9,4087843.0
2015,Croatia,59318112197.5722,31.1,4087843.0
2014,Croatia,57909810141.88,32.1,4087843.0
2013,Croatia,58108222128.8461,32.0,4087843.0
2012,Croatia,58369186194.0968,32.5,4087843.0
2011,Croatia,59799454151.6423,32.3,4087843.0
2010,Croatia,59918313669.1671,32.4,4087843.0
2009,Croatia,60717700435.3099,32.6,4087843.0
2008,Croatia,65515772483.174,,4087843.0
2007,Croatia,64298314188.4647,,4087843.0
2006,Croatia,61197075793.9092,,4087843.0
2018,Czech Republic,253045172103.95,25.0,10629928
2017,Czech Republic,245202003265.939,24.9,10629928
2016,Czech Republic,233151067380.883,25.4,10629928
2015,Czech Republic,227381745549.048,25.9,10629928
2014,Czech Republic,215755991069.112,25.9,10629928
2013,Czech Republic,210983331025.624,26.5,10629928
2012,Czech Republic,211080224602.858,26.1,10629928
2011,Czech Republic,212750323790.759,26.4,10629928
2010,Czech Republic,209069940963.177,26.6,10629928
2009,Czech Republic,204100298391.036,26.2,10629928
2008,Czech Republic,214070259127.502,26.3,10629928
2007,Czech Republic,208469898850.69,26.0,10629928
2006,Czech Republic,197470142753.551,26.7,10629928
2018,Denmark,372367867708.325,28.2,5793636.0
2017,Denmark,364438964537.519,28.7,5793636.0
2016,Denmark,354437668050.905,28.2,5793636.0
2015,Denmark,343294476994.931,28.2,5793636.0
2014,Denmark,335436569740.648,28.4,5793636.0
2013,Denmark,330091094977.815,28.5,5793636.0
2012,Denmark,327038708713.874,27.8,5793636.0
2011,Denmark,326299640707.019,27.3,5793636.0
2010,Denmark,321995279401.502,27.2,5793636.0
2009,Denmark,316081423941.657,26.7,5793636.0
2008,Denmark,332390313313.103,25.2,5793636.0
2007,Denmark,334100966204.774,26.2,5793636.0
2006,Denmark,331090561927.791,25.9,5793636.0
2018,Estonia,1683883408.75594,30.3,1321977.0
2017,Estonia,1613603477.8319,30.4,1321977.0
2016,Estonia,1529494224.16303,31.2,1321977.0
2015,Estonia,1482243027.71369,32.7,1321977.0
2014,Estonia,1455392682.02426,34.6,1321977.0
2013,Estonia,1413176509.34604,35.1,1321977.0
2012,Estonia,1394405238.91226,32.9,1321977.0
2011,Estonia,1352344121.715,32.5,1321977.0
2010,Estonia,1258853226.89866,32.0,1321977.0
2009,Estonia,1225873125.80184,31.4,1321977.0
2008,Estonia,1432661648.36718,31.9,1321977.0
2007,Estonia,1509478087.87613,31.2,1321977.0
2006,Estonia,1403205243.69945,33.7,1321977.0
2018,Faroe Islands,,,48497.0
2017,Faroe Islands,,,48497.0
2016,Faroe Islands,,,48497.0
2015,Faroe Islands,,,48497.0
2014,Faroe Islands,,,48497.0
2013,Faroe Islands,,,48497.0
2012,Faroe Islands,,,48497.0
2011,Faroe Islands,,,48497.0
2010,Faroe Islands,2320424601.26954,,48497.0
2009,Faroe Islands,,,48497.0
2008,Faroe Islands,,,48497.0
2007,Faroe Islands,,,48497.0
2006,Faroe Islands,,,48497.0
2018,Finland,269113179058.496,27.3,5515525.0
2017,Finland,265628570361.662,27.4,5515525.0
2016,Finland,257410958145.949,27.1,5515525.0
2015,Finland,250371859068.695,27.1,5515525.0
2014,Finland,249018049503.61,26.8,5515525.0
2013,Finland,249930064696.187,27.2,5515525.0
2012,Finland,252204180501.055,27.1,5515525.0
2011,Finland,255778806281.83,27.6,5515525.0
2010,Finland,249424310816.667,27.7,5515525.0
2009,Finland,241723112398.309,27.5,5515525.0
2008,Finland,262955299855.628,27.8,5515525.0
2007,Finland,260909780066.563,28.3,5515525.0
2006,Finland,247779130164.083,28.0,5515525.0
2018,France,2930607976267.93,32.4,66977107
2017,France,2878991574857.68,31.6,66977107
2016,France,2814499568997.83,31.9,66977107
2015,France,2784001820060.14,32.7,66977107
2014,France,2753359344138.85,32.3,66977107
2013,France,2727281540260.42,32.5,66977107
2012,France,2711653557481.26,33.1,66977107
2011,France,2703188933543.06,33.3,66977107
2010,France,2645187882116.67,33.7,66977107
2009,France,2594607624904.28,32.7,66977107
2008,France,2671364304886.08,33.0,66977107
2007,France,2664571088541.21,32.4,66977107
2006,France,2601491774613.78,29.7,66977107
2018,Germany,3926418568780.85,,82905782
2017,Germany,3877255158232.27,,82905782
2016,Germany,3778928349350.17,31.9,82905782
2015,Germany,3696496482672.59,31.7,82905782
2014,Germany,3642157979491.28,30.9,82905782
2013,Germany,3563422609296.38,31.1,82905782
2012,Germany,3547897319183.13,30.9,82905782
2011,Germany,3533111333252.44,30.5,82905782
2010,Germany,3399667820000.01,30.2,82905782
2009,Germany,3263267090017.34,30.5,82905782
2008,Germany,3460290359872.83,31.1,82905782
2007,Germany,3427391543620.05,31.3,82905782
2006,Germany,3328325430555.39,31.3,82905782
2018,Gibraltar,,,33718.0
2017,Gibraltar,,,33718.0
2016,Gibraltar,,,33718.0
2015,Gibraltar,,,33718.0
2014,Gibraltar,,,33718.0
2013,Gibraltar,,,33718.0
2012,Gibraltar,,,33718.0
2011,Gibraltar,,,33718.0
2010,Gibraltar,,,33718.0
2009,Gibraltar,,,33718.0
2008,Gibraltar,,,33718.0
2007,Gibraltar,,,33718.0
2006,Gibraltar,,,33718.0
2018,Greece,247643489387.938,32.9,10731726
2017,Greece,243842046377.8,34.4,10731726
2016,Greece,240758353595.684,35.0,10731726
2015,Greece,241943520921.99,36.0,10731726
2014,Greece,242944211867.598,35.8,10731726
2013,Greece,241259867501.329,36.1,10731726
2012,Greece,248061138528.468,36.3,10731726
2011,Greece,266968814916.016,34.8,10731726
2010,Greece,297124961971.501,34.1,10731726
2009,Greece,314348217058.93,33.6,10731726
2008,Greece,328475055055.053,33.6,10731726
2007,Greece,329579715229.25,34.0,10731726
2006,Greece,319132136925.793,35.1,10731726
2018,Hungary,164156103282.558,29.6,9775564.0
2017,Hungary,155746258233.436,30.6,9775564.0
2016,Hungary,149301250250.029,30.3,9775564.0
2015,Hungary,146173151085.081,30.4,9775564.0
2014,Hungary,140795565306.983,30.9,9775564.0
2013,Hungary,135082972930.623,31.5,9775564.0
2012,Hungary,132615331004.73,30.8,9775564.0
2011,Hungary,134471881165.37,29.2,9775564.0
2010,Hungary,131916516051.985,29.4,9775564.0
2009,Hungary,130452605289.135,27.0,9775564.0
2008,Hungary,139819916274.643,27.5,9775564.0
2007,Hungary,138355712640.943,27.9,9775564.0
2006,Hungary,138021450771.415,28.3,9775564.0
2018,Iceland,18227792282.9059,,352721.0
2017,Iceland,17407080835.653,26.1,352721.0
2016,Iceland,16706261705.8402,27.2,352721.0
2015,Iceland,15715599487.2528,26.8,352721.0
2014,Iceland,15047971591.1662,27.8,352721.0
2013,Iceland,14798292576.4812,25.4,352721.0
2012,Iceland,14153940071.0105,26.8,352721.0
2011,Iceland,14004977998.1585,26.8,352721.0
2010,Iceland,13751161917.7398,26.2,352721.0
2009,Iceland,14152057862.8939,28.7,352721.0
2008,Iceland,15326664220.7095,31.8,352721.0
2007,Iceland,14995342661.6113,29.5,352721.0
2006,Iceland,13826344571.668,30.2,352721.0
2018,Ireland,372300617924.262,,4867309.0
2017,Ireland,343082365981.679,31.4,4867309.0
2016,Ireland,314381129555.559,32.8,4867309.0
2015,Ireland,308235649867.516,31.8,4867309.0
2014,Ireland,246241019995.408,31.9,4867309.0
2013,Ireland,226656857706.201,33.5,4867309.0
2012,Ireland,223909812167.535,33.2,4867309.0
2011,Ireland,223624003883.013,32.9,4867309.0
2010,Ireland,222287851794.584,32.3,4867309.0
2009,Ireland,218414850981.939,32.7,4867309.0
2008,Ireland,230091285255.947,30.9,4867309.0
2007,Ireland,240778055809.957,31.9,4867309.0
2006,Ireland,228618540241.807,32.7,4867309.0
2018,Italy,2146114485858.04,,60421760
2017,Italy,2126092284053.69,35.9,60421760
2016,Italy,2091213785858.19,35.2,60421760
2015,Italy,2064510116906.73,35.4,60421760
2014,Italy,2048566038303.31,34.7,60421760
2013,Italy,2048659201948.41,34.9,60421760
2012,Italy,2087083780359.59,35.2,60421760
2011,Italy,2151209302546.05,35.1,60421760
2010,Italy,2136099955236.67,34.7,60421760
2009,Italy,2100118708781.5,33.8,60421760
2008,Italy,2217208074999.43,33.8,60421760
2007,Italy,2238745090235.33,32.9,60421760
2006,Italy,2205941135644.34,33.7,60421760
2018,Latvia,44595743365.806,35.1,1927174.0
2017,Latvia,42870501056.9186,35.6,1927174.0
2016,Latvia,41520776742.7396,34.3,1927174.0
2015,Latvia,40558357687.4366,34.2,1927174.0
2014,Latvia,38995843365.7812,35.1,1927174.0
2013,Latvia,38581617963.9437,35.5,1927174.0
2012,Latvia,37710440391.8362,35.2,1927174.0
2011,Latvia,36172486448.4331,35.8,1927174.0
2010,Latvia,33974713228.7101,35.0,1927174.0
2009,Latvia,35540939762.4485,36.0,1927174.0
2008,Latvia,41451858072.2391,37.2,1927174.0
2007,Latvia,42878556292.9244,37.5,1927174.0
2006,Latvia,38970904830.6932,35.6,1927174.0
2018,Liechtenstein,,,37910.0
2017,Liechtenstein,,,37910.0
2016,Liechtenstein,,,37910.0
2015,Liechtenstein,,,37910.0
2014,Liechtenstein,,,37910.0
2013,Liechtenstein,,,37910.0
2012,Liechtenstein,,,37910.0
2011,Liechtenstein,,,37910.0
2010,Liechtenstein,5082366478.08994,,37910.0
2009,Liechtenstein,,,37910.0
2008,Liechtenstein,,,37910.0
2007,Liechtenstein,,,37910.0
2006,Liechtenstein,,,37910.0
2018,Lithuania,14395769626.2351,35.7,2801543.0
2017,Lithuania,13850496906.4725,37.3,2801543.0
